Budget_ID,Project_ID,Project_Name,Cost_Category,Allocated_Budget,Actual_Spent,Remaining_Budget,Budget_Status,Variance_Percent,Last_Updated,Vendor,Purchase_Orders,Committed_Costs,Monthly_Spending,Risk_Level,Notes
B0001,PROJ001,Downtown Office Tower,Site Preparation,2000000.0,1591116.57,408883.43,Within Budget,-20.44,2025-09-19,Site Preparation Contractor Inc.,21,591990.45,"[{""month"": ""2024-01"", ""amount"": 144368.7}, {""month"": ""2024-01"", ""amount"": 218345.46}, {""month"": ""2024-03"", ""amount"": 116696.12}, {""month"": ""2024-03"", ""amount"": 236936.62}, {""month"": ""2024-04"", ""amount"": 74835.99}, {""month"": ""2024-05"", ""amount"": 171266.79}, {""month"": ""2024-06"", ""amount"": 180954.98}, {""month"": ""2024-07"", ""amount"": 125443.63}, {""month"": ""2024-08"", ""amount"": 111272.84}, {""month"": ""2024-09"", ""amount"": 199310.44}, {""month"": ""2024-10"", ""amount"": 69996.8}, {""month"": ""2024-11"", ""amount"": 128120.32}]",Low,Budget tracking for Site Preparation activities
B0002,PROJ001,Downtown Office Tower,Foundation,3750000.0,1924910.4,1825089.6,Within Budget,-48.67,2025-09-19,Foundation Contractor Inc.,15,544951.33,"[{""month"": ""2024-01"", ""amount"": 240414.4}, {""month"": ""2024-01"", ""amount"": 89276.84}, {""month"": ""2024-03"", ""amount"": 261555.76}, {""month"": ""2024-03"", ""amount"": 123695.96}, {""month"": ""2024-04"", ""amount"": 117305.63}, {""month"": ""2024-05"", ""amount"": 199545.82}, {""month"": ""2024-06"", ""amount"": 235351.31}, {""month"": ""2024-07"", ""amount"": 177912.03}, {""month"": ""2024-08"", ""amount"": 216517.33}, {""month"": ""2024-09"", ""amount"": 176026.05}, {""month"": ""2024-10"", ""amount"": 218948.2}, {""month"": ""2024-11"", ""amount"": 148560.66}]",Medium,Budget tracking for Foundation activities
B0003,PROJ001,Downtown Office Tower,Structural Steel,5000000.0,2855017.68,2144982.32,Within Budget,-42.9,2025-09-19,Structural Steel Contractor Inc.,12,1251950.63,"[{""month"": ""2024-01"", ""amount"": 160908.88}, {""month"": ""2024-01"", ""amount"": 190349.98}, {""month"": ""2024-03"", ""amount"": 227365.32}, {""month"": ""2024-03"", ""amount"": 397873.08}, {""month"": ""2024-04"", ""amount"": 227476.63}, {""month"": ""2024-05"", ""amount"": 135179.78}, {""month"": ""2024-06"", ""amount"": 196993.63}, {""month"": ""2024-07"", ""amount"": 392405.05}, {""month"": ""2024-08"", ""amount"": 179496.92}, {""month"": ""2024-09"", ""amount"": 367867.6}, {""month"": ""2024-10"", ""amount"": 337351.29}, {""month"": ""2024-11"", ""amount"": 302710.54}]",Low,Budget tracking for Structural Steel activities
B0004,PROJ001,Downtown Office Tower,Concrete,3000000.0,1673817.25,1326182.75,Within Budget,-44.21,2025-09-19,Concrete Contractor Inc.,9,606793.16,"[{""month"": ""2024-01"", ""amount"": 82663.66}, {""month"": ""2024-01"", ""amount"": 87529.45}, {""month"": ""2024-03"", ""amount"": 156587.11}, {""month"": ""2024-03"", ""amount"": 189853.91}, {""month"": ""2024-04"", ""amount"": 110807.25}, {""month"": ""2024-05"", ""amount"": 213692.07}, {""month"": ""2024-06"", ""amount"": 102952.2}, {""month"": ""2024-07"", ""amount"": 73272.99}, {""month"": ""2024-08"", ""amount"": 93506.33}, {""month"": ""2024-09"", ""amount"": 223704.7}, {""month"": ""2024-10"", ""amount"": 249615.59}, {""month"": ""2024-11"", ""amount"": 174903.42}]",High,Budget tracking for Concrete activities
B0005,PROJ001,Downtown Office Tower,MEP Systems,6250000.0,4726457.86,1523542.14,Within Budget,-24.38,2025-09-19,MEP Systems Contractor Inc.,14,634835.97,"[{""month"": ""2024-01"", ""amount"": 560697.02}, {""month"": ""2024-01"", ""amount"": 225868.56}, {""month"": ""2024-03"", ""amount"": 703703.12}, {""month"": ""2024-03"", ""amount"": 505651.06}, {""month"": ""2024-04"", ""amount"": 389113.95}, {""month"": ""2024-05"", ""amount"": 398641.51}, {""month"": ""2024-06"", ""amount"": 259482.92}, {""month"": ""2024-07"", ""amount"": 461552.55}, {""month"": ""2024-08"", ""amount"": 199421.63}, {""month"": ""2024-09"", ""amount"": 299646.94}, {""month"": ""2024-10"", ""amount"": 604994.7}, {""month"": ""2024-11"", ""amount"": 511969.63}]",Low,Budget tracking for MEP Systems activities
B0006,PROJ001,Downtown Office Tower,Interior Finishes,3000000.0,2771152.17,228847.83,Near Budget Limit,-7.63,2025-09-19,Interior Finishes Contractor Inc.,14,711443.72,"[{""month"": ""2024-01"", ""amount"": 160897.17}, {""month"": ""2024-01"", ""amount"": 220134.16}, {""month"": ""2024-03"", ""amount"": 397917.43}, {""month"": ""2024-03"", ""amount"": 354007.82}, {""month"": ""2024-04"", ""amount"": 346959.16}, {""month"": ""2024-05"", ""amount"": 118042.6}, {""month"": ""2024-06"", ""amount"": 406340.16}, {""month"": ""2024-07"", ""amount"": 133015.72}, {""month"": ""2024-08"", ""amount"": 314246.36}, {""month"": ""2024-09"", ""amount"": 129509.11}, {""month"": ""2024-10"", ""amount"": 350210.44}, {""month"": ""2024-11"", ""amount"": 284672.66}]",Medium,Budget tracking for Interior Finishes activities
B0007,PROJ001,Downtown Office Tower,Exterior Finishes,1250000.0,570963.61,679036.39,Within Budget,-54.32,2025-09-19,Exterior Finishes Contractor Inc.,14,189720.77,"[{""month"": ""2024-01"", ""amount"": 25720.44}, {""month"": ""2024-01"", ""amount"": 62708.94}, {""month"": ""2024-03"", ""amount"": 61713.59}, {""month"": ""2024-03"", ""amount"": 84839.66}, {""month"": ""2024-04"", ""amount"": 77046.84}, {""month"": ""2024-05"", ""amount"": 54436.51}, {""month"": ""2024-06"", ""amount"": 50343.96}, {""month"": ""2024-07"", ""amount"": 77342.93}, {""month"": ""2024-08"", ""amount"": 56515.66}, {""month"": ""2024-09"", ""amount"": 51204.08}, {""month"": ""2024-10"", ""amount"": 74269.3}, {""month"": ""2024-11"", ""amount"": 84070.87}]",Low,Budget tracking for Exterior Finishes activities
B0008,PROJ001,Downtown Office Tower,Equipment,750000.0,681970.55,68029.45,Near Budget Limit,-9.07,2025-09-19,Equipment Contractor Inc.,18,104770.18,"[{""month"": ""2024-01"", ""amount"": 41449.76}, {""month"": ""2024-01"", ""amount"": 83201.56}, {""month"": ""2024-03"", ""amount"": 88697.04}, {""month"": ""2024-03"", ""amount"": 74035.61}, {""month"": ""2024-04"", ""amount"": 42175.23}, {""month"": ""2024-05"", ""amount"": 31466.2}, {""month"": ""2024-06"", ""amount"": 81813.7}, {""month"": ""2024-07"", ""amount"": 44147.22}, {""month"": ""2024-08"", ""amount"": 79040.51}, {""month"": ""2024-09"", ""amount"": 67448.26}, {""month"": ""2024-10"", ""amount"": 80176.98}, {""month"": ""2024-11"", ""amount"": 77499.01}]",High,Budget tracking for Equipment activities
B0009,PROJ002,Riverside Apartments,Site Preparation,1440000.0,478770.19,961229.81,Within Budget,-66.75,2025-09-19,Site Preparation Contractor Inc.,19,215368.3,"[{""month"": ""2024-01"", ""amount"": 66534.3}, {""month"": ""2024-01"", ""amount"": 71746.98}, {""month"": ""2024-03"", ""amount"": 60745.91}, {""month"": ""2024-03"", ""amount"": 38600.57}, {""month"": ""2024-04"", ""amount"": 70081.09}, {""month"": ""2024-05"", ""amount"": 66822.07}, {""month"": ""2024-06"", ""amount"": 39716.2}, {""month"": ""2024-07"", ""amount"": 21795.67}, {""month"": ""2024-08"", ""amount"": 27827.82}, {""month"": ""2024-09"", ""amount"": 58179.6}, {""month"": ""2024-10"", ""amount"": 38685.55}, {""month"": ""2024-11"", ""amount"": 48525.77}]",Medium,Budget tracking for Site Preparation activities
B0010,PROJ002,Riverside Apartments,Foundation,2700000.0,2177342.83,522657.17,Within Budget,-19.36,2025-09-19,Foundation Contractor Inc.,23,276077.16,"[{""month"": ""2024-01"", ""amount"": 173962.42}, {""month"": ""2024-01"", ""amount"": 104375.57}, {""month"": ""2024-03"", ""amount"": 259256.22}, {""month"": ""2024-03"", ""amount"": 175034.42}, {""month"": ""2024-04"", ""amount"": 161679.28}, {""month"": ""2024-05"", ""amount"": 158850.3}, {""month"": ""2024-06"", ""amount"": 166766.49}, {""month"": ""2024-07"", ""amount"": 125459.12}, {""month"": ""2024-08"", ""amount"": 236790.49}, {""month"": ""2024-09"", ""amount"": 301643.52}, {""month"": ""2024-10"", ""amount"": 288209.64}, {""month"": ""2024-11"", ""amount"": 234390.42}]",Medium,Budget tracking for Foundation activities
