Resource_ID,Project_ID,Resource_Type,Resource_Name,Hourly_Rate,Allocated_Hours_Weekly,Utilized_Hours_Weekly,Efficiency_Percent,Allocated_Cost_Weekly,Actual_Cost_Weekly,Start_Date,End_Date,Availability_Status,Skill_Level,Certification_Status,Performance_Rating,Notes
R0001,PROJ001,Project Manager,Project Manager - Team A,150,37.0,26.1,70.5,5549.63,4060.45,2025-08-19,2025-11-23,Overallocated,Junior,Current,10,Resource allocation for Project Manager on project PROJ001
R0002,PROJ001,Site Supervisor,Site Supervisor - Team A,120,28.4,21.4,75.2,3409.26,2565.57,2025-07-14,2025-12-16,Available,Senior,Expiring Soon,9,Resource allocation for Site Supervisor on project PROJ001
R0003,PROJ001,Structural Engineer,Structural Engineer - Team B,140,17.3,13.2,76.3,2426.65,1951.23,2025-08-01,2025-12-13,Overallocated,Mid-Level,Current,8,Resource allocation for Structural Engineer on project PROJ001
R0004,PROJ001,MEP Engineer,MEP Engineer - Team A,130,32.1,26.1,81.2,4169.03,3700.08,2025-08-02,2025-11-23,Available,Junior,Expiring Soon,8,Resource allocation for MEP Engineer on project PROJ001
R0005,PROJ001,General Labor,General Labor - Team C,35,314.9,258.2,82.0,11022.26,9759.9,2025-07-07,2026-01-20,Partially Available,Mid-Level,Expiring Soon,8,Resource allocation for General Labor on project PROJ001
R0006,PROJ001,Skilled Carpenter,Skilled Carpenter - Team C,45,132.3,93.6,70.7,5954.21,4523.37,2025-06-23,2025-12-05,Available,Senior,Expiring Soon,10,Resource allocation for Skilled Carpenter on project PROJ001
R0007,PROJ001,Electrician,Electrician - Team A,55,128.9,114.7,89.0,7090.3,6787.9,2025-04-11,2025-12-01,Partially Available,Junior,Expiring Soon,7,Resource allocation for Electrician on project PROJ001
R0008,PROJ001,Plumber,Plumber - Team B,50,69.2,51.1,73.9,3457.54,2588.52,2025-05-19,2026-01-15,Partially Available,Junior,Expired,7,Resource allocation for Plumber on project PROJ001
R0009,PROJ001,Heavy Equipment Operator,Heavy Equipment Operator - Team B,60,89.2,67.0,75.1,5350.84,4016.83,2025-05-09,2025-12-15,Overallocated,Senior,Current,9,Resource allocation for Heavy Equipment Operator on project PROJ001
R0010,PROJ001,Safety Inspector,Safety Inspector - Team B,80,17.3,12.9,74.4,1383.99,1114.35,2025-08-11,2025-11-25,Partially Available,Mid-Level,Current,10,Resource allocation for Safety Inspector on project PROJ001
R0011,PROJ002,Project Manager,Project Manager - Team C,150,22.9,20.2,88.2,3438.29,3044.62,2025-06-16,2025-11-04,Overallocated,Junior,Expired,8,Resource allocation for Project Manager on project PROJ002
R0012,PROJ002,Site Supervisor,Site Supervisor - Team B,120,43.3,39.8,92.0,5197.98,4703.91,2025-07-28,2025-12-06,Partially Available,Expert,Expiring Soon,9,Resource allocation for Site Supervisor on project PROJ002
R0013,PROJ002,Structural Engineer,Structural Engineer - Team C,140,17.5,15.7,90.1,2444.53,2288.77,2025-04-24,2025-12-23,Available,Junior,Expiring Soon,8,Resource allocation for Structural Engineer on project PROJ002
R0014,PROJ002,MEP Engineer,MEP Engineer - Team B,130,30.6,25.6,83.9,3973.23,3513.04,2025-06-06,2026-02-10,Overallocated,Expert,Current,8,Resource allocation for MEP Engineer on project PROJ002
R0015,PROJ002,General Labor,General Labor - Team B,35,291.1,222.6,76.5,10187.83,8518.04,2025-08-01,2025-12-14,Overallocated,Expert,Expired,10,Resource allocation for General Labor on project PROJ002
R0016,PROJ002,Skilled Carpenter,Skilled Carpenter - Team A,45,127.0,116.1,91.4,5713.04,5623.03,2025-08-20,2025-12-25,Overallocated,Senior,Current,7,Resource allocation for Skilled Carpenter on project PROJ002
R0017,PROJ002,Electrician,Electrician - Team C,55,107.9,88.0,81.6,5932.58,4871.72,2025-06-16,2025-10-20,Available,Senior,Expired,8,Resource allocation for Electrician on project PROJ002
R0018,PROJ002,Plumber,Plumber - Team A,50,84.5,73.9,87.4,4225.1,3610.38,2025-07-03,2025-11-08,Partially Available,Senior,Current,8,Resource allocation for Plumber on project PROJ002
R0019,PROJ002,Heavy Equipment Operator,Heavy Equipment Operator - Team C,60,69.6,51.6,74.1,4176.55,3238.16,2025-04-07,2025-12-24,Overallocated,Expert,Expired,7,Resource allocation for Heavy Equipment Operator on project PROJ002
R0020,PROJ002,Safety Inspector,Safety Inspector - Team C,80,14.4,13.4,93.3,1152.38,1089.66,2025-06-08,2025-12-01,Overallocated,Junior,Expiring Soon,7,Resource allocation for Safety Inspector on project PROJ002
R0021,PROJ003,Project Manager,Project Manager - Team A,150,33.3,29.3,88.1,4991.89,4518.53,2025-05-07,2025-11-09,Overallocated,Mid-Level,Expiring Soon,7,Resource allocation for Project Manager on project PROJ003
R0022,PROJ003,Site Supervisor,Site Supervisor - Team B,120,43.9,31.0,70.5,5272.53,3828.59,2025-03-25,2025-12-04,Partially Available,Senior,Current,7,Resource allocation for Site Supervisor on project PROJ003
R0023,PROJ003,Structural Engineer,Structural Engineer - Team B,140,23.6,22.3,94.4,3301.99,3025.5,2025-04-30,2025-11-18,Partially Available,Senior,Current,7,Resource allocation for Structural Engineer on project PROJ003
R0024,PROJ003,MEP Engineer,MEP Engineer - Team C,130,16.3,14.9,91.4,2118.36,2076.02,2025-05-05,2025-12-09,Overallocated,Expert,Current,8,Resource allocation for MEP Engineer on project PROJ003
R0025,PROJ003,General Labor,General Labor - Team B,35,210.7,164.6,78.1,7373.93,5935.94,2025-07-15,2025-11-04,Overallocated,Junior,Expired,7,Resource allocation for General Labor on project PROJ003
R0026,PROJ003,Skilled Carpenter,Skilled Carpenter - Team C,45,128.7,92.1,71.6,5791.57,4456.99,2025-08-04,2025-11-21,Available,Junior,Current,9,Resource allocation for Skilled Carpenter on project PROJ003
R0027,PROJ003,Electrician,Electrician - Team A,55,70.9,66.9,94.4,3897.44,3936.57,2025-06-26,2026-02-04,Partially Available,Expert,Expired,8,Resource allocation for Electrician on project PROJ003
R0028,PROJ003,Plumber,Plumber - Team C,50,44.2,38.1,86.3,2208.81,1853.79,2025-07-30,2025-11-26,Overallocated,Junior,Expired,8,Resource allocation for Plumber on project PROJ003
R0029,PROJ003,Heavy Equipment Operator,Heavy Equipment Operator - Team A,60,77.4,59.3,76.7,4642.02,3812.56,2025-05-07,2026-02-22,Available,Senior,Expired,9,Resource allocation for Heavy Equipment Operator on project PROJ003
R0030,PROJ003,Safety Inspector,Safety Inspector - Team C,80,19.2,13.7,71.4,1533.04,1153.72,2025-07-06,2025-12-27,Available,Mid-Level,Expiring Soon,10,Resource allocation for Safety Inspector on project PROJ003
R0031,PROJ004,Project Manager,Project Manager - Team B,150,42.6,32.3,75.9,6386.42,5093.27,2025-06-12,2026-01-13,Overallocated,Expert,Current,9,Resource allocation for Project Manager on project PROJ004
R0032,PROJ004,Site Supervisor,Site Supervisor - Team A,120,28.8,20.2,70.0,3454.01,2561.96,2025-07-11,2025-11-16,Overallocated,Mid-Level,Expiring Soon,10,Resource allocation for Site Supervisor on project PROJ004
R0033,PROJ004,Structural Engineer,Structural Engineer - Team B,140,11.2,8.5,76.3,1564.54,1178.19,2025-08-05,2025-10-21,Overallocated,Junior,Current,7,Resource allocation for Structural Engineer on project PROJ004
R0034,PROJ004,MEP Engineer,MEP Engineer - Team A,130,31.5,24.6,78.0,4097.95,3496.09,2025-04-10,2025-10-25,Overallocated,Junior,Current,10,Resource allocation for MEP Engineer on project PROJ004
R0035,PROJ004,General Labor,General Labor - Team B,35,203.3,162.2,79.8,7116.07,5468.54,2025-08-07,2026-02-19,Overallocated,Senior,Current,9,Resource allocation for General Labor on project PROJ004
R0036,PROJ004,Skilled Carpenter,Skilled Carpenter - Team A,45,148.2,132.2,89.2,6667.18,5844.14,2025-06-30,2026-01-03,Available,Mid-Level,Expired,8,Resource allocation for Skilled Carpenter on project PROJ004
R0037,PROJ004,Electrician,Electrician - Team C,55,104.2,87.3,83.8,5732.22,5024.62,2025-07-02,2026-03-02,Partially Available,Mid-Level,Expiring Soon,8,Resource allocation for Electrician on project PROJ004
R0038,PROJ004,Plumber,Plumber - Team A,50,62.0,54.7,88.2,3098.98,2678.81,2025-04-14,2025-12-19,Overallocated,Mid-Level,Expiring Soon,8,Resource allocation for Plumber on project PROJ004
R0039,PROJ004,Heavy Equipment Operator,Heavy Equipment Operator - Team B,60,48.1,42.8,89.0,2887.83,2503.7,2025-04-26,2026-01-22,Overallocated,Mid-Level,Current,9,Resource allocation for Heavy Equipment Operator on project PROJ004
R0040,PROJ004,Safety Inspector,Safety Inspector - Team A,80,20.5,16.1,78.3,1643.64,1232.44,2025-08-03,2025-10-26,Overallocated,Senior,Expired,7,Resource allocation for Safety Inspector on project PROJ004
R0041,PROJ005,Project Manager,Project Manager - Team C,150,22.1,20.6,93.4,3310.45,3230.14,2025-04-30,2026-01-14,Partially Available,Expert,Expiring Soon,7,Resource allocation for Project Manager on project PROJ005
R0042,PROJ005,Site Supervisor,Site Supervisor - Team A,120,41.7,31.9,76.5,5005.75,4051.12,2025-04-12,2026-02-24,Overallocated,Senior,Expired,8,Resource allocation for Site Supervisor on project PROJ005
R0043,PROJ005,Structural Engineer,Structural Engineer - Team C,140,20.5,18.8,91.9,2865.15,2827.15,2025-07-29,2026-01-05,Overallocated,Expert,Current,10,Resource allocation for Structural Engineer on project PROJ005
R0044,PROJ005,MEP Engineer,MEP Engineer - Team C,130,28.3,24.1,85.1,3678.95,3249.43,2025-05-22,2025-12-20,Partially Available,Junior,Current,8,Resource allocation for MEP Engineer on project PROJ005
R0045,PROJ005,General Labor,General Labor - Team C,35,299.3,230.3,76.9,10476.2,8154.7,2025-03-23,2026-02-17,Available,Expert,Expiring Soon,7,Resource allocation for General Labor on project PROJ005
R0046,PROJ005,Skilled Carpenter,Skilled Carpenter - Team A,45,116.3,109.5,94.2,5232.71,5147.71,2025-04-11,2026-01-21,Partially Available,Mid-Level,Expiring Soon,8,Resource allocation for Skilled Carpenter on project PROJ005
R0047,PROJ005,Electrician,Electrician - Team C,55,118.0,83.9,71.0,6492.18,5063.99,2025-03-27,2025-12-04,Overallocated,Expert,Expiring Soon,7,Resource allocation for Electrician on project PROJ005
R0048,PROJ005,Plumber,Plumber - Team B,50,92.4,72.0,77.9,4619.32,3836.55,2025-08-17,2025-11-21,Overallocated,Senior,Current,8,Resource allocation for Plumber on project PROJ005
R0049,PROJ005,Heavy Equipment Operator,Heavy Equipment Operator - Team A,60,44.3,37.6,84.9,2658.47,2442.76,2025-04-06,2025-11-28,Partially Available,Junior,Current,10,Resource allocation for Heavy Equipment Operator on project PROJ005
R0050,PROJ005,Safety Inspector,Safety Inspector - Team B,80,22.2,16.5,74.6,1774.5,1390.01,2025-06-02,2026-02-22,Overallocated,Expert,Expired,10,Resource allocation for Safety Inspector on project PROJ005
R0051,PROJ006,Project Manager,Project Manager - Team C,150,27.8,25.2,90.4,4175.44,3926.86,2025-03-31,2026-02-16,Overallocated,Senior,Expired,8,Resource allocation for Project Manager on project PROJ006
R0052,PROJ006,Site Supervisor,Site Supervisor - Team B,120,21.5,15.2,70.6,2582.8,1781.15,2025-04-26,2026-02-04,Partially Available,Expert,Current,8,Resource allocation for Site Supervisor on project PROJ006
R0053,PROJ006,Structural Engineer,Structural Engineer - Team B,140,22.3,16.6,74.3,3125.71,2242.59,2025-05-25,2025-12-04,Available,Junior,Expired,7,Resource allocation for Structural Engineer on project PROJ006
R0054,PROJ006,MEP Engineer,MEP Engineer - Team A,130,30.3,28.2,93.2,3933.41,4032.27,2025-03-26,2026-01-28,Overallocated,Senior,Expiring Soon,10,Resource allocation for MEP Engineer on project PROJ006
R0055,PROJ006,General Labor,General Labor - Team A,35,293.0,277.5,94.7,10256.62,10513.64,2025-06-11,2026-01-28,Partially Available,Expert,Current,7,Resource allocation for General Labor on project PROJ006
R0056,PROJ006,Skilled Carpenter,Skilled Carpenter - Team A,45,137.4,128.6,93.6,6184.83,5516.85,2025-05-26,2026-02-26,Overallocated,Expert,Expired,9,Resource allocation for Skilled Carpenter on project PROJ006
R0057,PROJ006,Electrician,Electrician - Team B,55,113.0,101.4,89.7,6213.11,5764.5,2025-07-28,2025-11-30,Available,Mid-Level,Expiring Soon,10,Resource allocation for Electrician on project PROJ006
R0058,PROJ006,Plumber,Plumber - Team C,50,52.7,49.0,93.0,2634.02,2488.53,2025-05-28,2026-02-28,Available,Expert,Expiring Soon,8,Resource allocation for Plumber on project PROJ006
R0059,PROJ006,Heavy Equipment Operator,Heavy Equipment Operator - Team C,60,88.9,84.4,95.0,5334.18,5284.81,2025-05-17,2025-12-17,Available,Senior,Expiring Soon,9,Resource allocation for Heavy Equipment Operator on project PROJ006
R0060,PROJ006,Safety Inspector,Safety Inspector - Team B,80,23.9,18.8,78.5,1914.5,1521.19,2025-06-11,2026-01-08,Available,Mid-Level,Expired,8,Resource allocation for Safety Inspector on project PROJ006
R0061,PROJ007,Project Manager,Project Manager - Team C,150,25.5,21.0,82.3,3828.05,3426.52,2025-07-19,2026-01-12,Overallocated,Expert,Current,7,Resource allocation for Project Manager on project PROJ007
R0062,PROJ007,Site Supervisor,Site Supervisor - Team A,120,28.0,25.0,89.6,3355.5,3123.74,2025-06-08,2026-01-18,Available,Mid-Level,Current,7,Resource allocation for Site Supervisor on project PROJ007
R0063,PROJ007,Structural Engineer,Structural Engineer - Team B,140,16.5,13.8,83.4,2315.63,1887.55,2025-03-27,2026-03-14,Overallocated,Junior,Expiring Soon,10,Resource allocation for Structural Engineer on project PROJ007
R0064,PROJ007,MEP Engineer,MEP Engineer - Team A,130,25.3,18.0,71.1,3292.09,2514.83,2025-05-06,2025-12-05,Overallocated,Junior,Expiring Soon,8,Resource allocation for MEP Engineer on project PROJ007
R0065,PROJ007,General Labor,General Labor - Team B,35,231.7,220.0,95.0,8110.38,7468.03,2025-03-30,2026-01-08,Partially Available,Expert,Expired,9,Resource allocation for General Labor on project PROJ007
R0066,PROJ007,Skilled Carpenter,Skilled Carpenter - Team A,45,137.5,105.6,76.8,6188.67,4693.91,2025-06-15,2026-03-17,Available,Expert,Current,8,Resource allocation for Skilled Carpenter on project PROJ007
