Task_ID,Project_ID,Project_Name,Project_Type,Phase,Task_Name,Start_Date,End_Date,Duration_Days,Progress_Percent,Status,Responsible_Team,Delay_Days,Delay_Reason,Priority,Dependencies,Critical_Path
T0001,PROJ001,Downtown Office Tower,Commercial Office Building,Pre-Construction,Pre-Construction - Downtown Office Tower,2024-01-25,2024-02-16,22,100.0,Completed,General Contractor,0,,Low,,False
T0002,PROJ001,Downtown Office Tower,Commercial Office Building,Site Preparation,Site Preparation - Downtown Office Tower,2024-02-17,2024-03-28,40,100.0,Completed,Quality Control,0,,Medium,T0001,False
T0003,PROJ001,Downtown Office Tower,Commercial Office Building,Foundation,Foundation - Downtown Office Tower,2024-03-29,2024-06-06,69,100.0,Completed,Structural,0,,Low,T0002,False
T0004,PROJ001,Downtown Office Tower,Commercial Office Building,Structural,Structural - Downtown Office Tower,2024-06-10,2024-10-11,123,100.0,Completed,Quality Control,0,,Medium,T0003,False
T0005,PROJ001,Downtown Office Tower,Commercial Office Building,MEP Systems,MEP Systems - Downtown Office Tower,2024-10-13,2025-02-07,117,100.0,Completed,Quality Control,23,Site conditions,High,T0004,True
T0006,PROJ001,Downtown Office Tower,Commercial Office Building,Interior Finishes,Interior Finishes - Downtown Office Tower,2025-02-11,2025-05-27,105,100.0,Completed,Finishes,18,Material shortages,High,T0005,False
T0007,PROJ001,Downtown Office Tower,Commercial Office Building,Exterior Finishes,Exterior Finishes - Downtown Office Tower,2025-06-01,2025-07-10,39,100.0,Completed,Quality Control,0,,Medium,T0006,False
T0008,PROJ001,Downtown Office Tower,Commercial Office Building,Final Inspections,Final Inspections - Downtown Office Tower,2025-07-15,2025-08-10,26,100.0,Completed,MEP,0,,Medium,T0007,False
T0009,PROJ001,Downtown Office Tower,Commercial Office Building,Project Closeout,Project Closeout - Downtown Office Tower,2025-08-14,2025-08-29,15,100.0,Completed,MEP,5,Equipment issues,Medium,T0008,False
T0010,PROJ002,Riverside Apartments,Residential Complex,Pre-Construction,Pre-Construction - Riverside Apartments,2024-02-23,2024-03-30,36,100.0,Completed,Finishes,0,,High,,False
T0011,PROJ002,Riverside Apartments,Residential Complex,Site Preparation,Site Preparation - Riverside Apartments,2024-03-31,2024-05-07,37,100.0,Completed,MEP,0,,Low,T0010,False
T0012,PROJ002,Riverside Apartments,Residential Complex,Foundation,Foundation - Riverside Apartments,2024-05-12,2024-08-08,88,100.0,Completed,Structural,27,Material shortages,Medium,T0011,False
T0013,PROJ002,Riverside Apartments,Residential Complex,Structural,Structural - Riverside Apartments,2024-08-12,2024-12-16,126,100.0,Completed,Quality Control,0,,Low,T0012,True
T0014,PROJ002,Riverside Apartments,Residential Complex,MEP Systems,MEP Systems - Riverside Apartments,2024-12-18,2025-03-11,83,100.0,Completed,MEP,0,,High,T0013,False
T0015,PROJ002,Riverside Apartments,Residential Complex,Interior Finishes,Interior Finishes - Riverside Apartments,2025-03-12,2025-05-17,66,100.0,Completed,Structural,0,,High,T0014,False
T0016,PROJ002,Riverside Apartments,Residential Complex,Exterior Finishes,Exterior Finishes - Riverside Apartments,2025-05-18,2025-07-21,64,100.0,Completed,Structural,0,,Low,T0015,False
T0017,PROJ002,Riverside Apartments,Residential Complex,Final Inspections,Final Inspections - Riverside Apartments,2025-07-26,2025-08-04,9,100.0,Completed,Structural,0,,High,T0016,False
